DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,15402.066,2025-03-06T09:33:59.825Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,27923,2025-03-06T09:33:59.825Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,28175,2025-03-06T09:34:00.529Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15403.262,2025-03-06T09:34:00.529Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,28406,2025-03-06T09:34:01.278Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15404.357,2025-03-06T09:34:01.278Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15405.453,2025-03-06T09:34:01.978Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,28637,2025-03-06T09:34:01.978Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15406.549,2025-03-06T09:34:02.641Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,28868,2025-03-06T09:34:02.641Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15407.744,2025-03-06T09:34:03.346Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,29120,2025-03-06T09:34:03.346Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15408.84,2025-03-06T09:34:04.050Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,29351,2025-03-06T09:34:04.050Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15409.936,2025-03-06T09:34:04.797Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,29582,2025-03-06T09:34:04.797Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15411.031,2025-03-06T09:34:05.458Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,29813,2025-03-06T09:34:05.459Z
